ModelType,Feature,Ordered,Weeks,Seasons,TestSize,OurRPS,MinRPS,MaxRPS,timestamp
gradient_boosting,A+B+C,TRUE,38,2018-2019,10,0.22478922569761,0.1274999,0.1325152,2018-12-14 06:45:58
random_forest,A+B+C,TRUE,38,2018-2019,10,0.1548202,0.1274999,0.1325152,2018-12-14 06:46:44
decision_tree,A+B+C,FALSE,38,2018-2019,10,0.287774749901315,0.1274999,0.1325152,2018-12-14 06:46:44
gradient_boosting,A+B+C,FALSE,38,2018-2019,10,0.232786118159654,0.1274999,0.1325152,2018-12-14 06:48:44
random_forest,A+B+C,FALSE,38,2018-2019,10,0.1548202,0.1274999,0.1325152,2018-12-14 06:49:30
glmnet,A+B+C,FALSE,38,2018-2019,10,0.134860119413622,0.1274999,0.1325152,2018-12-14 06:52:09
decision_tree,A+B+C,TRUE,39,2018-2019,10,0.245326402792473,0.1731499,0.1844852,2018-12-14 06:52:09
gradient_boosting,A+B+C,TRUE,39,2018-2019,10,0.246631921307009,0.1731499,0.1844852,2018-12-14 06:54:13
random_forest,A+B+C,TRUE,39,2018-2019,10,0.1816432,0.1731499,0.1844852,2018-12-14 06:55:00
decision_tree,A+B+C,FALSE,39,2018-2019,10,0.292781471180562,0.1731499,0.1844852,2018-12-14 06:55:00
gradient_boosting,A+B+C,FALSE,39,2018-2019,10,0.241437253125165,0.1731499,0.1844852,2018-12-14 06:57:04
random_forest,A+B+C,FALSE,39,2018-2019,10,0.1816432,0.1731499,0.1844852,2018-12-14 06:57:51
glmnet,A+B+C,FALSE,39,2018-2019,10,0.182607626107863,0.1731499,0.1844852,2018-12-14 07:00:29
decision_tree,A+B+C,TRUE,40,2018-2019,10,0.186447224172871,0.1733986,0.1871299,2018-12-14 07:00:29
gradient_boosting,A+B+C,TRUE,40,2018-2019,10,0.185908926903567,0.1733986,0.1871299,2018-12-14 07:02:37
random_forest,A+B+C,TRUE,40,2018-2019,10,0.1613452,0.1733986,0.1871299,2018-12-14 07:03:23
decision_tree,A+B+C,FALSE,40,2018-2019,10,0.1911837431115,0.1733986,0.1871299,2018-12-14 07:03:24
gradient_boosting,A+B+C,FALSE,40,2018-2019,10,0.244807363771823,0.1733986,0.1871299,2018-12-14 07:05:31
random_forest,A+B+C,FALSE,40,2018-2019,10,0.1613452,0.1733986,0.1871299,2018-12-14 07:06:17
glmnet,A+B+C,FALSE,40,2018-2019,10,0.195322165649063,0.1733986,0.1871299,2018-12-14 07:09:11
decision_tree,A+B+C,TRUE,42,2018-2019,10,0.268845455085954,0.1811752,0.1854364,2018-12-14 07:09:11
gradient_boosting,A+B+C,TRUE,42,2018-2019,10,0.381035227344211,0.1811752,0.1854364,2018-12-14 07:11:17
random_forest,A+B+C,TRUE,42,2018-2019,10,0.200574,0.1811752,0.1854364,2018-12-14 07:12:02
decision_tree,A+B+C,FALSE,42,2018-2019,10,0.30734851018611,0.1811752,0.1854364,2018-12-14 07:12:03
gradient_boosting,A+B+C,FALSE,42,2018-2019,10,0.339591246046889,0.1811752,0.1854364,2018-12-14 07:14:08
random_forest,A+B+C,FALSE,42,2018-2019,10,0.200574,0.1811752,0.1854364,2018-12-14 07:14:54
glmnet,A+B+C,FALSE,42,2018-2019,10,0.189888368108111,0.1811752,0.1854364,2018-12-14 07:17:15
decision_tree,A+B+C,TRUE,43,2018-2019,10,0.203660060731089,0.1547736,0.164956,2018-12-14 07:17:15
gradient_boosting,A+B+C,TRUE,43,2018-2019,10,0.275821154116286,0.1547736,0.164956,2018-12-14 07:19:23
random_forest,A+B+C,TRUE,43,2018-2019,10,0.148379111111111,0.1547736,0.164956,2018-12-14 07:20:09
decision_tree,A+B+C,FALSE,43,2018-2019,10,0.284828023004746,0.1547736,0.164956,2018-12-14 07:20:10
gradient_boosting,A+B+C,FALSE,43,2018-2019,10,0.241882774714787,0.1547736,0.164956,2018-12-14 07:22:17
random_forest,A+B+C,FALSE,43,2018-2019,10,0.148379111111111,0.1547736,0.164956,2018-12-14 07:23:03
glmnet,A+B+C,FALSE,43,2018-2019,10,0.162251052718758,0.1547736,0.164956,2018-12-14 07:25:29
decision_tree,A+B+C,TRUE,44,2018-2019,10,0.185988513170222,0.1334707,0.1541214,2018-12-14 07:25:30
gradient_boosting,A+B+C,TRUE,44,2018-2019,10,0.23341528810866,0.1334707,0.1541214,2018-12-14 07:27:37
random_forest,A+B+C,TRUE,44,2018-2019,10,0.1748898,0.1334707,0.1541214,2018-12-14 07:28:23
decision_tree,A+B+C,FALSE,44,2018-2019,10,0.155142516692094,0.1334707,0.1541214,2018-12-14 07:28:24
gradient_boosting,A+B+C,FALSE,44,2018-2019,10,0.205230616646885,0.1334707,0.1541214,2018-12-14 07:30:31
random_forest,A+B+C,FALSE,44,2018-2019,10,0.1748898,0.1334707,0.1541214,2018-12-14 07:31:17
glmnet,A+B+C,FALSE,44,2018-2019,10,0.15743666928669,0.1334707,0.1541214,2018-12-14 07:33:53
decision_tree,A+B+C,TRUE,45,2018-2019,10,0.19541365461384,0.151314,0.1577764,2018-12-14 07:33:53
gradient_boosting,A+B+C,TRUE,45,2018-2019,10,0.28683204742722,0.151314,0.1577764,2018-12-14 07:36:00
random_forest,A+B+C,TRUE,45,2018-2019,10,0.193863777777778,0.151314,0.1577764,2018-12-14 07:36:45
decision_tree,A+B+C,FALSE,45,2018-2019,10,0.260917462988074,0.151314,0.1577764,2018-12-14 07:36:45
gradient_boosting,A+B+C,FALSE,45,2018-2019,10,0.335716026950339,0.151314,0.1577764,2018-12-14 07:38:53
random_forest,A+B+C,FALSE,45,2018-2019,10,0.193863777777778,0.151314,0.1577764,2018-12-14 07:39:38
glmnet,A+B+C,FALSE,45,2018-2019,10,0.150605951138247,0.151314,0.1577764,2018-12-14 07:42:05
decision_tree,A+B+C,TRUE,47,2018-2019,10,0.27823652186993,0.207751,0.2328445,2018-12-14 07:42:06
gradient_boosting,A+B+C,TRUE,47,2018-2019,10,0.291348417975184,0.207751,0.2328445,2018-12-14 07:44:12
random_forest,A+B+C,TRUE,47,2018-2019,10,0.2087026,0.207751,0.2328445,2018-12-14 07:44:58
decision_tree,A+B+C,FALSE,47,2018-2019,10,0.345385656192114,0.207751,0.2328445,2018-12-14 07:44:58
gradient_boosting,A+B+C,FALSE,47,2018-2019,10,0.318367017358173,0.207751,0.2328445,2018-12-14 07:47:03
random_forest,A+B+C,FALSE,47,2018-2019,10,0.2087026,0.207751,0.2328445,2018-12-14 07:47:51
glmnet,A+B+C,FALSE,47,2018-2019,10,0.209084598769004,0.207751,0.2328445,2018-12-14 07:50:30
decision_tree,A+B+C,TRUE,48,2018-2019,10,0.192427911431411,0.1803109,0.1860805,2018-12-14 07:50:30
gradient_boosting,A+B+C,TRUE,48,2018-2019,10,0.18078744636788,0.1803109,0.1860805,2018-12-14 07:52:27
random_forest,A+B+C,TRUE,48,2018-2019,10,0.1788078,0.1803109,0.1860805,2018-12-14 07:53:12
decision_tree,A+B+C,FALSE,48,2018-2019,10,0.191216945155071,0.1803109,0.1860805,2018-12-14 07:53:12
gradient_boosting,A+B+C,FALSE,48,2018-2019,10,0.22298349353497,0.1803109,0.1860805,2018-12-14 07:55:09
random_forest,A+B+C,FALSE,48,2018-2019,10,0.1788078,0.1803109,0.1860805,2018-12-14 07:55:53
glmnet,A+B+C,FALSE,48,2018-2019,10,0.194657138618818,0.1803109,0.1860805,2018-12-14 07:57:50
decision_tree,A+B+C,TRUE,49,2018-2019,4,0.159541608052686,0.1284869,0.1436744,2018-12-14 07:57:50
gradient_boosting,A+B+C,TRUE,49,2018-2019,4,0.234054845055853,0.1284869,0.1436744,2018-12-14 07:59:47
random_forest,A+B+C,TRUE,49,2018-2019,4,0.155792,0.1284869,0.1436744,2018-12-14 08:00:34
decision_tree,A+B+C,FALSE,49,2018-2019,4,0.226335727320764,0.1284869,0.1436744,2018-12-14 08:00:34
gradient_boosting,A+B+C,FALSE,49,2018-2019,4,0.222932944351107,0.1284869,0.1436744,2018-12-14 08:02:31
random_forest,A+B+C,FALSE,49,2018-2019,4,0.155792,0.1284869,0.1436744,2018-12-14 08:03:16
glmnet,A+B+C,FALSE,49,2018-2019,4,0.152873757875377,0.1284869,0.1436744,2018-12-14 08:05:13
